Title,Genre,Year,Rating
The Hunger Games: The Ballad of Songbirds and Snakes,"['Action', 'Adventure', 'Drama']",2023,0
Watchmen,"['Action', 'Drama', 'Mystery']",2009,7.6
Tenet,"['Action', 'Adventure', 'Sci-Fi']",2020,7.3
Shang-Chi and the Legend of the Ten Rings,"['Action', 'Adventure', 'Fantasy']",2021,7.4
Ghostbusters,"['Action', 'Comedy', 'Fantasy']",1984,7.8
The Hunger Games,"['Action', 'Adventure', 'Sci-Fi']",2012,7.2
The Mortal Instruments: City of Bones,"['Action', 'Adventure', 'Fantasy']",2013,5.8
Black Widow,"['Action', 'Adventure', 'Sci-Fi']",2021,6.7
Willow,"['Action', 'Adventure', 'Drama']",1988,7.2
Independence Day,"['Action', 'Adventure', 'Sci-Fi']",1996,7
Mission: Impossible - Rogue Nation,"['Action', 'Adventure', 'Thriller']",2015,7.4
Casino Royale,"['Action', 'Adventure', 'Thriller']",2006,8
The Fifth Element,"['Action', 'Adventure', 'Sci-Fi']",1997,7.6
Deadpool,"['Action', 'Adventure', 'Comedy']",2016,8
Doctor Strange,"['Action', 'Adventure', 'Fantasy']",2016,7.5
Enola Holmes,"['Action', 'Adventure', 'Crime']",2020,6.6
Divergent,"['Action', 'Adventure', 'Mystery']",2014,6.6
The Accountant,"['Action', 'Thriller']",2016,7.3
Spider-Man,"['Action', 'Adventure', 'Sci-Fi']",2002,7.4
Operation Fortune: Ruse de guerre,"['Action', 'Comedy', 'Thriller']",2022,7.2
Zack Snyder's Justice League,"['Action', 'Adventure', 'Fantasy']",2021,8
Die Hard,"['Action', 'Thriller']",1988,8.2
Mission: Impossible III,"['Action', 'Adventure', 'Thriller']",2006,6.9
Blade Runner,"['Action', 'Drama', 'Sci-Fi']",1982,8.1
Mad Max: Fury Road,"['Action', 'Adventure', 'Sci-Fi']",2015,8.1
K.G.F: Chapter 2,"['Action', 'Crime', 'Drama']",2022,8.5
White Elephant,"['Action', 'Thriller']",2022,5
Blacklight,"['Action', 'Thriller']",2022,4.7
Pirates of the Caribbean: Dead Man's Chest,"['Action', 'Adventure', 'Fantasy']",2006,7.3
Spider-Man: Homecoming,"['Action', 'Adventure', 'Sci-Fi']",2017,7.4
Resident Evil: Welcome to Raccoon City,"['Action', 'Horror', 'Sci-Fi']",2021,5.2
Captain Marvel,"['Action', 'Adventure', 'Sci-Fi']",2019,6.8
Aliens,"['Action', 'Adventure', 'Sci-Fi']",1986,8.4
1917,"['Action', 'Drama', 'War']",2019,8.2
Star Wars: Episode VII - The Force Awakens,"['Action', 'Adventure', 'Sci-Fi']",2015,7.8
The Matrix,"['Action', 'Sci-Fi']",1999,8.7
The Flash,"['Action', 'Adventure', 'Fantasy']",2023,0
Gladiator,"['Action', 'Adventure', 'Drama']",2000,8.5
Kingsman: The Secret Service,"['Action', 'Adventure', 'Comedy']",2014,7.7
Predator,"['Action', 'Adventure', 'Horror']",1987,7.8
Red Notice,"['Action', 'Comedy', 'Thriller']",2021,6.3
Spider-Man: Into the Spider-Verse,"['Animation', 'Action', 'Adventure']",2018,8.4
The Mummy,"['Action', 'Adventure', 'Fantasy']",1999,7.1
Batman Begins,"['Action', 'Crime', 'Drama']",2005,8.2
Star Wars: Episode VIII - The Last Jedi,"['Action', 'Adventure', 'Fantasy']",2017,6.9
21 Bridges,"['Crime', 'Drama', 'Thriller']",2019,6.6
Apocalypto,"['Action', 'Adventure', 'Drama']",2006,7.8
Jack Reacher,"['Action', 'Mystery', 'Thriller']",2012,7
Drive,"['Action', 'Drama']",2011,7.8
Pirates of the Caribbean: On Stranger Tides,"['Action', 'Adventure', 'Fantasy']",2011,6.6
Oblivion,"['Action', 'Adventure', 'Sci-Fi']",2013,7
The Hunt,"['Action', 'Horror', 'Thriller']",2020,6.5
The Hunt,['Drama'],2020,8.3
300,"['Action', 'Drama']",2006,7.6
Suicide Squad,"['Action', 'Adventure', 'Fantasy']",2016,5.9
The Dark Knight Rises,"['Action', 'Drama']",2012,8.4
Starship Troopers,"['Action', 'Adventure', 'Sci-Fi']",1997,7.3
The Old Guard,"['Action', 'Thriller']",2020,6.6
The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",2003,9
Pirates of the Caribbean: At World's End,"['Action', 'Adventure', 'Fantasy']",2007,7.1
Black Panther,"['Action', 'Adventure', 'Sci-Fi']",2018,7.3
Edge of Tomorrow,"['Action', 'Adventure', 'Sci-Fi']",2014,7.9
Dunkirk,"['Action', 'Drama', 'History']",2017,7.8
The Marvels,"['Action', 'Adventure', 'Fantasy']",2023,0
Baywatch,"['Action', 'Comedy', 'Crime']",2017,5.5
Waterworld,"['Action', 'Adventure', 'Sci-Fi']",1995,6.2
John Wick,"['Action', 'Crime', 'Thriller']",2014,7.4
Twister,"['Action', 'Adventure', 'Thriller']",1996,6.4
Black Hawk Down,"['Action', 'Drama', 'History']",2001,7.7
Deadpool 2,"['Action', 'Adventure', 'Comedy']",2018,7.7
Thor,"['Action', 'Adventure', 'Fantasy']",2011,7
Skyfall,"['Action', 'Adventure', 'Thriller']",2012,7.8
Iron Man,"['Action', 'Adventure', 'Sci-Fi']",2008,7.9
Oldboy,"['Action', 'Drama', 'Mystery']",2013,8.4
Oldboy,"['Action', 'Drama', 'Mystery']",2013,5.7
The Man from Toronto,"['Action', 'Comedy', 'Thriller']",2022,5.8
Black Panther: Wakanda Forever,"['Action', 'Adventure', 'Drama']",2022,0
The Informer,"['Action', 'Crime', 'Drama']",2019,6.6
Sicario,"['Action', 'Crime', 'Drama']",2015,7.6
Solo: A Star Wars Story,"['Action', 'Adventure', 'Sci-Fi']",2018,6.9
Batman Forever,"['Action', 'Adventure']",1995,5.4
Jumanji: The Next Level,"['Action', 'Adventure', 'Comedy']",2019,6.7
The Avengers,"['Action', 'Adventure', 'Sci-Fi']",2012,8
The Terminator,"['Action', 'Sci-Fi']",1984,8.1
John Wick: Chapter 4,"['Action', 'Crime', 'Thriller']",2023,0
Strange World,"['Animation', 'Action', 'Adventure']",2022,0
Fury,"['Action', 'Drama', 'War']",2014,7.5
Ford v Ferrari,"['Action', 'Biography', 'Drama']",2019,8.1
Spider-Man 3,"['Action', 'Adventure', 'Sci-Fi']",2007,6.2
The Tomorrow War,"['Action', 'Adventure', 'Drama']",2021,6.5
Public Enemies,"['Action', 'Biography', 'Crime']",2009,7
Venom,"['Action', 'Adventure', 'Sci-Fi']",2018,6.6
Brahmastra Part One: Shiva,"['Action', 'Adventure', 'Fantasy']",2022,0
War of the Worlds,"['Action', 'Adventure', 'Sci-Fi']",2005,6.5
War of the Worlds,['Sci-Fi'],2005,0
Fantastic Four,"['Action', 'Adventure', 'Sci-Fi']",2015,4.3
Captain America: The First Avenger,"['Action', 'Adventure', 'Sci-Fi']",2011,6.9
Terminator 2: Judgment Day,"['Action', 'Sci-Fi']",1991,8.6
Tropic Thunder,"['Action', 'Comedy', 'War']",2008,7
Star Trek,"['Action', 'Adventure', 'Sci-Fi']",2009,7.9
The Revenant,"['Action', 'Adventure', 'Drama']",2015,8
Godzilla vs. Kong,"['Action', 'Sci-Fi', 'Thriller']",2021,6.3
Guardians of the Galaxy Vol. 3,"['Action', 'Adventure', 'Comedy']",2023,0
Dune: Part Two,"['Action', 'Adventure', 'Drama']",2023,0
Collateral,"['Action', 'Crime', 'Drama']",2004,7.5
The 355,['Action'],2022,5.4
Baby Driver,"['Action', 'Crime', 'Drama']",2017,7.6
Only the Brave,"['Action', 'Biography', 'Drama']",2017,7.6
"10,000 BC","['Action', 'Adventure', 'Drama']",2008,5.1
6 Underground,"['Action', 'Thriller']",2019,6.1
Paws of Fury: The Legend of Hank,"['Animation', 'Action', 'Comedy']",2022,0
The Amazing Spider-Man 2,"['Action', 'Adventure', 'Sci-Fi']",2014,6.6
Jungle Cruise,"['Action', 'Adventure', 'Comedy']",2021,6.6
Infinite,"['Action', 'Sci-Fi', 'Thriller']",2021,5.4
The Fast and the Furious,"['Action', 'Adventure', 'Crime']",2001,6.8
Guardians of the Galaxy Vol. 2,"['Action', 'Adventure', 'Comedy']",2017,7.6
Fast X,"['Action', 'Crime', 'Mystery']",2023,0
Justice League,"['Action', 'Adventure', 'Fantasy']",2017,6.1
Batman,"['Action', 'Adventure']",1989,7.5
Batman,"['Action', 'Adventure', 'Comedy']",1989,6.5
DC League of Super-Pets,"['Animation', 'Action', 'Adventure']",2022,0
Spider-Man: Across the Spider-Verse,"['Animation', 'Action', 'Adventure']",2023,0
Speed,"['Action', 'Adventure', 'Thriller']",1994,7.3
Indiana Jones and the Last Crusade,"['Action', 'Adventure']",1989,8.2
The Last Samurai,"['Action', 'Drama']",2003,7.8
The Last Samurai,"['Action', 'Drama']",2003,7.4
Transformers,"['Action', 'Adventure', 'Sci-Fi']",2007,7
Logan,"['Action', 'Drama', 'Sci-Fi']",2017,8.1
Armageddon,"['Action', 'Adventure', 'Sci-Fi']",1998,6.7
Spider-Man: Far from Home,"['Action', 'Adventure', 'Sci-Fi']",2019,7.4
Ready or Not,"['Action', 'Comedy', 'Horror']",2019,6.8
The Crow,"['Action', 'Crime', 'Drama']",1994,7.5
Kill Bill: Vol. 1,"['Action', 'Crime', 'Drama']",2003,8.2
Minority Report,"['Action', 'Crime', 'Mystery']",2002,7.7
Ready Player One,"['Action', 'Adventure', 'Sci-Fi']",2018,7.4
Hell or High Water,"['Action', 'Crime', 'Drama']",2016,7.6
Man of Steel,"['Action', 'Adventure', 'Sci-Fi']",2013,7.1
The Lord of the Rings: The Two Towers,"['Action', 'Adventure', 'Drama']",2002,8.8
The Harder They Fall,"['Action', 'Drama', 'Western']",2021,6.5
Kick-Ass,"['Action', 'Comedy', 'Crime']",2010,7.6
Shazam!,"['Action', 'Adventure', 'Comedy']",2019,7
Jumanji: Welcome to the Jungle,"['Action', 'Adventure', 'Comedy']",2017,6.9
The Incredibles,"['Animation', 'Action', 'Adventure']",2004,8
Con Air,"['Action', 'Crime', 'Thriller']",1997,6.9
Wonder Woman 1984,"['Action', 'Adventure', 'Fantasy']",2020,5.4
Predestination,"['Action', 'Drama', 'Sci-Fi']",2014,7.4
Indiana Jones and the Temple of Doom,"['Action', 'Adventure']",1984,7.5
Avengers: Age of Ultron,"['Action', 'Adventure', 'Sci-Fi']",2015,7.3
The School for Good and Evil,"['Action', 'Drama', 'Fantasy']",2022,0
The Fighter,"['Action', 'Biography', 'Drama']",2010,7.8
