Title,Genre,Year,Rating
Thrissur Pooram,"['Action', 'Drama', 'Thriller']",2019,5.1
Outlaw Blues,"['Action', 'Comedy', 'Drama']",1977,6
Fireman Sam: Set for Action!,"['Animation', 'Action', 'Adventure']",2018,4.9
Partners,"['Action', 'Crime']",2009,2.3
Pride of Lions,"['Action', 'Adventure', 'Comedy']",2014,3.6
7 xiao fu,"['Action', 'Comedy']",1986,6.6
The Inglorious Serfs,"['Action', 'Adventure', 'Comedy']",2020,7
Les anges gardiens,"['Action', 'Comedy', 'Crime']",1995,5.8
Fear PHarm 2,"['Action', 'Adventure', 'Horror']",2021,3.6
Recovery,['Action'],#N/A,0
Ucha Pind,['Action'],2021,7.4
Dymez,"['Action', 'Comedy', 'Drama']",2021,5.4
Women of the Prehistoric Planet,"['Action', 'Adventure', 'Romance']",1966,2.4
Wreckage,"['Action', 'Thriller']",#N/A,0
Yaghi,"['Action', 'Adventure']",1998,4
Callan,"['Action', 'Crime', 'Thriller']",1974,6.9
Viking Blood,['Action'],2019,3.5
Pressure Point,"['Action', 'Drama', 'Thriller']",1997,2.6
Iron Warrior,"['Action', 'Adventure', 'Drama']",1987,3.2
Devil's Den,"['Action', 'Comedy', 'Fantasy']",2006,4.6
Hum,"['Action', 'Comedy', 'Drama']",1991,6.9
Toofan,"['Action', 'Crime']",1989,5
Jilla,"['Action', 'Crime', 'Drama']",2014,6.2
Coolie,"['Action', 'Comedy', 'Drama']",1983,6.6
Kaatru Veliyidai,"['Action', 'Drama', 'Romance']",2017,5.8
Mela,"['Action', 'Adventure', 'Comedy']",2000,3.6
S/O Satyamurthy,"['Action', 'Drama']",2015,7
Alien vs. Ninja,"['Action', 'Comedy', 'Fantasy']",2010,4.4
Ishaqzaade,"['Action', 'Drama', 'Romance']",2012,6.5
Mahal... Ginagabi ka na naman,"['Action', 'Comedy', 'Romance']",1979,0
The Man Called Flintstone,"['Animation', 'Action', 'Adventure']",1966,6.5
Ninja Terminator,"['Action', 'Adventure']",1986,4.4
HERD,"['Action', 'Horror']",,0
Beatdown,"['Action', 'Crime', 'Thriller']",2010,4.5
Maruthamalai,"['Action', 'Comedy']",2007,5.3
Kong que wang chao,"['Action', 'Drama']",1979,6.4
KL Gangster,['Action'],2011,5.4
Gacchaman,"['Action', 'Drama', 'Fantasy']",2013,4.9
Ezhumalai,['Action'],2002,5.5
Cyber Tracker,"['Action', 'Sci-Fi']",1994,3.7
I Declare War,"['Action', 'Comedy', 'Drama']",2012,6
Knock Outs,"['Action', 'Comedy']",1992,5.7
Caged Fear,"['Action', 'Thriller']",1991,4.4
Evil Feed,"['Action', 'Horror']",2013,4
Ardennes Fury,"['Action', 'War']",2014,2.3
Shadowhunter,"['Action', 'Drama', 'Horror']",1993,4.6
Paiyaa,"['Action', 'Adventure', 'Drama']",2010,6.5
Mission Galactica: The Cylon Attack,"['Action', 'Adventure', 'Sci-Fi']",1979,6.9
Maradona,"['Action', 'Comedy', 'Thriller']",2018,6.3
The Super Cops,"['Action', 'Comedy', 'Crime']",1974,6.6
War Drums,"['Action', 'Drama', 'Romance']",1957,5.6
Where Love Found Me,"['Action', 'Adventure', 'Drama']",2016,5
Oozham,"['Action', 'Drama', 'Thriller']",2016,6
Mehandi Ban Gai Khoon,['Action'],1991,5.2
Youngblood,"['Action', 'Crime', 'Drama']",1978,5.7
Adormidera,"['Action', 'Adventure', 'Fantasy']",2013,3.7
"Anything, Anywhere, Anytime","['Action', 'Thriller']",,0
Chasing,"['Action', 'Crime']",2021,4.6
Lost,"['Action', 'Adventure', 'Thriller']",2004,5.8
Ruler,"['Action', 'Drama']",2019,3.3
Killing American Style,"['Action', 'Crime', 'Thriller']",1988,4
Kadaram Kondan,"['Action', 'Crime', 'Thriller']",2019,5.6
Guna 369,"['Action', 'Drama']",2019,6.2
7 Aum Arivu,"['Action', 'Sci-Fi', 'Thriller']",2011,6.5
The Misfit Brigade,"['Action', 'Adventure', 'Drama']",1987,5.7
Parwaaz Hai Junoon,"['Action', 'Romance', 'War']",2018,7.5
Tarkan: Viking Kani,"['Action', 'Adventure', 'Fantasy']",1971,6.3
King of the Mountain,"['Action', 'Adventure', 'Drama']",1981,5.4
Khufiya,"['Action', 'Crime', 'Thriller']",,0
Chai lai,"['Action', 'Comedy']",2006,4.6
City Beneath the Sea,"['Action', 'Adventure', 'Drama']",1953,5.5
Sunstorm,['Action'],2001,3.1
The Order of the Black Eagle,"['Action', 'Adventure', 'Thriller']",1987,4.5
Cross Wars,"['Action', 'Fantasy']",2017,2.3
Decoy,['Action'],1995,4.6
Fight Club: Members Only,"['Action', 'Crime', 'Drama']",2006,3.5
Sweet Revenge,"['Action', 'Adventure', 'Drama']",1987,3.9
Amazons and Gladiators,"['Drama', 'Action', 'Adventure']",2001,3.4
Madha Gaja Raja,"['Action', 'Comedy']",2022,0
Bagdad,"['Action', 'Adventure', 'Fantasy']",1949,5.3
Xun zhao Cheng Long,"['Action', 'Comedy', 'Family']",2009,3.9
False Flag,"['Action', 'Mystery', 'Thriller']",2023,0
A Small Town in Texas,"['Action', 'Adventure', 'Crime']",1976,5.6
"Banned, Exploited & Blacklisted: The Underground Work of Controversial Filmmaker Shane Ryan","['Action', 'Comedy', 'Crime']",2020,6.2
Garra Mortal,['Action'],2019,0
Home Minister,"['Action', 'Drama']",2022,7.7
Five Nights at Freddy's: The Fan Movie,"['Action', 'Horror', 'Thriller']",2017,6.7
Breakdown Lane,"['Action', 'Drama', 'Horror']",2017,2.8
Mission C,['Action'],2021,7.4
Blue Tiger,"['Action', 'Crime', 'Thriller']",1994,5.4
Walker Texas Ranger 3: Deadly Reunion,"['Action', 'Crime', 'Drama']",1994,4.9
Yellowstone,"['Action', 'Crime', 'Drama']",1936,5.4
Fox Hunting,['Action'],2020,3.1
Bloody Hands,"['Action', 'Crime']",2022,0
Ramayya Vastavayya,"['Action', 'Drama']",2013,5.1
Free Dead or Alive,['Action'],2022,0
Airspeed,"['Action', 'Adventure', 'Drama']",1999,3.6
Dum,"['Action', 'Crime', 'Drama']",2003,5.6
The Mind's Eye,"['Action', 'Horror', 'Sci-Fi']",2015,4.7
The Money,"['Action', 'Adventure', 'Comedy']",2019,4.6
Caravan to Vaccares,"['Action', 'Mystery', 'Thriller']",1974,4.4
Defiant,"['Action', 'Drama', 'Sci-Fi']",2019,4.6
Fubar,"['Action', 'Comedy', 'Horror']",2018,4.7
Bimbisara,"['Action', 'Fantasy']",2022,0
Venus & Vegas,"['Action', 'Comedy', 'Crime']",2010,3.9
Jil Jung Juk,"['Action', 'Comedy', 'Crime']",2016,6.8
Mrityudaata,"['Action', 'Drama', 'Musical']",1997,2.8
Kalki,"['Action', 'Comedy', 'Crime']",2019,4.7
Siruthai,['Action'],2011,6
Judwaa 2,"['Action', 'Comedy']",2017,3.6
Blue,"['Action', 'Adventure', 'Mystery']",2009,3.7
Bichhoo,"['Action', 'Crime', 'Drama']",2000,5
Rakshasudu,"['Action', 'Crime', 'Thriller']",2019,8
Gurkha,"['Action', 'Comedy']",2019,4.9
New Delhi,"['Action', 'Crime', 'Drama']",1987,7.8
Masoom,"['Action', 'Comedy', 'Thriller']",1996,5.4
Blood Debts,"['Action', 'Crime', 'Thriller']",1985,4.4
Night of the Warrior,"['Action', 'Sport']",1991,3.5
The Mad,"['Action', 'Comedy', 'Horror']",2007,4.7
Jil,['Action'],2015,5.5
Naiyaandi,"['Action', 'Comedy', 'Romance']",2013,3.2
Wired to Kill,"['Action', 'Sci-Fi']",1986,3.8
Gypsy Eyes,"['Action', 'Drama', 'Romance']",1992,4.5
Andres Manambit: Angkan ng matatapang,"['Action', 'Drama']",1992,5.4
Johnny Yuma,"['Western', 'Action', 'Drama']",1966,6.1
Lady Killer,"['Action', 'Crime', 'Thriller']",,0
Doraemon: Nobita and the Space Heroes,"['Animation', 'Action', 'Adventure']",2015,6.4
Mosby's Marauders,"['Action', 'Adventure', 'History']",1967,6.7
Repeater,['Action'],,0
Ankush,"['Action', 'Drama']",1986,7.5
Desert Saints,"['Action', 'Romance', 'Thriller']",2002,6
Akayla,"['Action', 'Drama', 'Thriller']",1991,5.2
Bangkok Adrenaline,"['Action', 'Comedy']",2009,4.7
Tepepa,"['Action', 'Adventure', 'Drama']",1969,6.6
Road Dogs,"['Action', 'Comedy']",2022,0
Penitentiary III,"['Action', 'Crime', 'Drama']",1987,4.4
Bro',"['Action', 'Crime', 'Drama']",2012,3.2
Silver Sable,['Action'],,0
Armageddon Tales,"['Action', 'Sci-Fi']",2021,3.3
Tarzan's Hidden Jungle,"['Action', 'Adventure']",1955,5.4
Ek Ajnabee,"['Action', 'Crime', 'Drama']",2005,5.3
Fags in the Fast Lane,"['Action', 'Adventure', 'Comedy']",2017,6.4
Du bei dao wang,"['Action', 'Adventure']",1969,7.1
Nine Lives,"['Action', 'Adventure', 'Biography']",2016,7.2
Nine Lives,"['Comedy', 'Drama', 'Family']",2016,5.3
Kilit,"['Action', 'Mystery', 'Thriller']",2021,6.2
Serbian Scars,"['Action', 'Drama', 'Thriller']",2009,3.1
Jai Ho,"['Action', 'Drama']",2014,5
Son of Sardaar,"['Action', 'Comedy', 'Romance']",2012,4.1
Tuck Jagadish,"['Action', 'Drama']",2021,5.7
The Mummy Rebirth,"['Action', 'Comedy', 'Crime']",2019,2.5
Thupparivaalan,"['Action', 'Crime', 'Thriller']",2017,7.5
Billa,"['Action', 'Crime', 'Thriller']",2007,7.3
Tabaahi,"['Action', 'Crime', 'Drama']",1993,5.6
The Controller,"['Action', 'Adventure', 'Comedy']",2008,2.9
The Final Cut,"['Action', 'Drama', 'Thriller']",1995,5.5
Battle in Space: The Armada Attacks,"['Action', 'Sci-Fi']",2021,2.5
Lethal Target,"['Action', 'Sci-Fi']",1999,3.4
Ten Tall Men,"['Action', 'Adventure', 'War']",1951,6.1
Petla,"['Action', 'Crime', 'Drama']",2020,3.5
Texas Lightning,"['Action', 'Comedy', 'Drama']",1981,4.2
Let Me Make You a Martyr,"['Action', 'Crime', 'Drama']",2016,4.6
USS Seaviper,"['Action', 'Drama', 'War']",2012,2.3
Jungle Ki Hasina,"['Action', 'Adventure']",1990,0
Cash,"['Action', 'Crime', 'Thriller']",2007,3.4
A.P.E.X.,"['Action', 'Sci-Fi']",1994,4.3
In Dangerous Company,"['Action', 'Crime', 'Drama']",1988,3.2
The King of the Streets,['Action'],2012,5
Future Zone,"['Action', 'Comedy', 'Crime']",1990,3.4
Balidaan,"['Action', 'Thriller']",1985,5.8
Ghulam-E-Musthafa,"['Action', 'Crime', 'Drama']",1997,6.6
Angel Unchained,"['Action', 'Drama', 'Thriller']",1970,5
Salim,"['Action', 'Thriller']",2014,6.7
Mugabe,"['Action', 'Biography', 'Drama']",2020,5.4
Jung Baaz,"['Action', 'Crime']",1989,5.5
The Avenging Silence,"['Action', 'Crime', 'Thriller']",,0
The Girls from Thunder Strip,"['Action', 'Drama']",1970,3.8
Vaanam,"['Action', 'Crime', 'Drama']",2011,7.3
Guru,"['Action', 'Drama', 'Sport']",2017,7.8
Bomber,"['Comedy', 'Action', 'Crime']",1982,6.2
Concorde Affaire '79,"['Action', 'Crime', 'Thriller']",1979,5.6
Merciless,"['Action', 'Horror', 'Thriller']",,0
Garuda Superhero,"['Action', 'Fantasy']",2015,4.6
My Name Is Modesty: A Modesty Blaise Adventure,"['Action', 'Crime', 'Drama']",2004,4.5
Breaking Point,"['Action', 'Crime', 'Drama']",2009,4.8
To Trap a Spy,"['Comedy', 'Adventure', 'Drama']",1964,6
Sunday,"['Action', 'Comedy', 'Mystery']",2008,5.4
Code Name: Emerald,"['Action', 'Drama', 'War']",1985,5.9
Agent,['Action'],2022,0
Saheb Biwi Aur Gangster,"['Action', 'Crime', 'Drama']",2011,7.1
Deadly Force,"['Action', 'Crime', 'Drama']",1983,4.8
Saint Michael of the City,['Action'],,0
Platteland,"['Action', 'Drama', 'Music']",2011,6.4
The Aggression Scale,"['Action', 'Crime', 'Thriller']",2012,5.9
American Hostage,['Action'],#N/A,0
Hell Riders,"['Action', 'Drama']",1984,3.7
Rogue Warrior: Robot Fighter,"['Action', 'Sci-Fi']",2016,4.4
Rescue,['Action'],2022,0
The Adventures of Hajji Baba,"['Action', 'Adventure', 'Romance']",1954,5.9
Higanjima: Derakkusu,"['Action', 'Comedy', 'Fantasy']",2016,5.1
Thirunaal,"['Action', 'Drama', 'Romance']",2016,3.9
Edakkad Battalion 06,"['Action', 'Drama', 'Romance']",2019,4.6
Agni Siragugal,"['Action', 'Thriller']",,0
Jishin rettô,"['Action', 'Drama', 'Sci-Fi']",1980,4.8
Young Rebels,"['Action', 'Adventure']",1989,4.8
Way of the Warriors,"['Action', 'Drama', 'Sport']",,0
Savage Harbor,"['Action', 'Drama']",1987,4.4
Surviving the Wild,"['Action', 'Adventure', 'Family']",2018,5.7
East of Sumatra,"['Action', 'Adventure', 'Romance']",1953,5.4
Patra Vaitha Nerupondru,"['Action', 'Crime', 'Thriller']",2020,6.6
Paradise,['Action'],2022,0
Milarepa,"['Action', 'Adventure', 'Biography']",2006,6.9
Balupu,"['Action', 'Comedy']",2013,6.1
Lootere,"['Action', 'Romance', 'Thriller']",1993,5.2
The Wasteland,['Action'],2022,5.1
The Wasteland,"['Drama', 'Horror', 'Mystery']",2022,4.6
The Huns,"['Action', 'Adventure', 'History']",2021,5.3
The Huns,"['Action', 'Adventure']",2021,4.6
Rising Fear,"['Action', 'Drama']",2016,3.8
Sparta,"['Action', 'Sport']",2016,6.3
Black Thunder,"['Action', 'Drama', 'Thriller']",1998,3.7
The Taint,"['Action', 'Comedy', 'Horror']",2011,5.1
Bull,['Action'],2023,0
Running on Empty,"['Action', 'Drama', 'Sport']",1982,5.7
Namak Halaal,"['Action', 'Comedy', 'Drama']",1982,7.2
Revelation,"['Action', 'Drama', 'Horror']",1999,4.7
Shiva,"['Action', 'Crime', 'Drama']",1989,8
Zombies of the Stratosphere,"['Action', 'Adventure', 'Sci-Fi']",1952,5.2
Warrior Savitri,"['Action', 'Thriller']",2016,3.9
What Waits Below,"['Action', 'Horror']",1984,4.7
Wounded,"['Action', 'Crime', 'Thriller']",1997,5.5
Battlefield 2025,"['Action', 'Adventure', 'Horror']",2020,2.1
J2: J Retribusi,['Action'],2021,6.7
The Lies We Tell But the Secrets We Keep: Part 3,"['Action', 'Drama', 'Romance']",2014,7.6
Ninja Vengeance,"['Action', 'Drama']",1993,2.5
My Pet Dinosaur,"['Action', 'Adventure', 'Family']",2017,3.9
Death Brings Roses,['Action'],1975,4.3
Agent Red,"['Action', 'Drama', 'Thriller']",2000,3.3
Red Billabong,"['Action', 'Comedy', 'Drama']",2016,4
Avenging Force: The Scarab,"['Action', 'Sci-Fi']",2010,1.4
Kamen Rider: Beyond Generations,['Action'],2021,8.2
The Stranglers of Bombay,"['Action', 'Adventure', 'History']",1959,6.2
Devil's Night: Dawn of the Nain Rouge,"['Action', 'Crime', 'Horror']",2020,3.9
The Legend of Gobi,['Action'],2018,5.8
Légitime violence,"['Action', 'Crime', 'Drama']",1982,5.4
The Last Drop,"['Action', 'Adventure', 'Drama']",2006,4.5
Sinatra Club,"['Action', 'Biography', 'Crime']",2010,4.6
Azaadi,"['Action', 'Drama', 'Romance']",2018,5.6
Sakhi Badshah,['Action'],1996,0
The Pharm,"['Action', 'Crime', 'Drama']",2021,4.9
Isle of Dogs,"['Action', 'Crime', 'Thriller']",2010,3.5
"Largado, ibabalik kita sa pinanggalingan mo!",['Action'],1999,8.2
16 Bars,['Action'],2020,7.5
Daanveer,"['Action', 'Crime', 'Drama']",1996,3.8
Raakh,"['Action', 'Crime', 'Drama']",1989,7.1
The Punished,['Action'],2018,2.6
Yi tin to lung gei 2,"['Action', 'Fantasy']",2022,5.2
Double Barrel,['Action'],2017,7.6
Headless Horseman,['Action'],2023,0
Vedam,"['Action', 'Drama']",2010,8.1
Thaanaa Serndha Koottam,"['Action', 'Comedy', 'Crime']",2018,6.4
Kuttavum Shikshayum,"['Action', 'Crime', 'Drama']",2022,5.6
Baap Numbri Beta Dus Numbri,"['Action', 'Comedy', 'Crime']",1990,6.1
The File of the Golden Goose,"['Action', 'Crime', 'Drama']",1969,5.4
Gambler,"['Action', 'Comedy', 'Crime']",1995,5.1
The Return of Billy Jack,"['Action', 'Crime', 'Drama']",1986,6.6
Guns of a Stranger,"['Action', 'Music', 'Western']",1973,4.5
Tank 432,"['Action', 'Horror', 'Mystery']",2015,3.3
Prematho Mee Karthik,"['Action', 'Drama', 'Romance']",2017,6.5
Eye for an Eye,"['Action', 'Thriller']",2019,3.8
Eye for an Eye,"['Drama', 'Thriller']",2019,6.6
Aetbaar,"['Action', 'Drama', 'Musical']",2004,4.6
The Greek Job,['Action'],#N/A,0
Loha,['Action'],1997,5.4
Snow Monster,['Action'],2019,6.5
Persons Unknown,"['Action', 'Thriller']",1996,5.4
Midnight Witness,"['Action', 'Thriller']",1993,4.1
Aflatoon,"['Action', 'Comedy', 'Crime']",1997,4.5
Another World,"['Action', 'Horror', 'Sci-Fi']",2014,4.4
Another World,['Drama'],2014,7.1
AWOL-72,"['Action', 'Thriller']",2015,3.8
Airliner Sky Battle,"['Action', 'Thriller']",2020,3.3
Mawaali,"['Action', 'Drama']",1983,4.6
The Last Soviet Movie,"['Action', 'Adventure', 'Comedy']",2003,7.3
El Puño del Cóndor,['Action'],2022,0
Eastern Promises 2,"['Action', 'Drama']",,0
Copper Skin and Iron Bones of Fang Shiyu,"['Action', 'History', 'Thriller']",2021,5.2
Collector Garu,"['Action', 'Comedy', 'Drama']",1997,5
Tevar,"['Action', 'Drama', 'Romance']",2015,4.1
Karzzzz,"['Action', 'Drama', 'Musical']",2008,2.2
Chor Police,"['Crime', 'Action', 'Drama']",1983,5.9
The Fight Machine,"['Action', 'Drama', 'Sport']",,0
Yamla Pagla Deewana,"['Action', 'Comedy', 'Drama']",2011,5.7
Ottakomban,"['Action', 'Family']",#N/A,0
Junkie,"['Action', 'Crime', 'Drama']",2018,5.1
Doosaboo ilchae,"['Action', 'Comedy', 'Crime']",2001,6.2
Gautam Govinda,"['Action', 'Crime', 'Drama']",1979,6.1
Eskapo,"['Drama', 'Thriller', 'Action']",1995,7.2
Geçmise Dönüs,"['Action', 'Drama']",2021,0
Angels Around Me,['Action'],2013,2.7
Maging sino ka man,"['Action', 'Comedy', 'Drama']",1991,7.6
Rocket Hunter,"['Action', 'Drama', 'War']",2020,1.4
Starship: Rising,"['Action', 'Sci-Fi']",2014,2.2
Cut Shoot Kill,"['Action', 'Horror', 'Thriller']",2017,4.3
Sakthi,"['Action', 'Adventure', 'Fantasy']",2011,3.4
Barood,"['Action', 'Crime', 'Drama']",1976,6
Rarandoi Veduka Chudham,"['Action', 'Romance']",2017,5.6
Atlantis,"['Action', 'Crime', 'Drama']",2021,7
Joshua: Imai Pol Kaka,"['Action', 'Thriller']",2022,0
Abdullah,"['Action', 'Drama', 'Romance']",1980,5.9
Firehead,"['Action', 'Sci-Fi', 'Thriller']",1991,2.6
Okka Magadu,"['Action', 'Comedy', 'Drama']",2008,1.8
Bare Knuckle Brawler,['Action'],2019,4.2
Bare Knuckles,"['Action', 'Drama']",2010,3.8
Dharmatma,"['Action', 'Romance', 'Thriller']",1975,6.7
Local Kung Fu,"['Action', 'Comedy']",2013,8
Asal,['Action'],2010,3.7
Extreme Dating,"['Action', 'Romance', 'Comedy']",2005,5.1
The Charisma Killers,['Action'],,0
Thunder and Lightning,"['Action', 'Adventure', 'Comedy']",1977,5.2
Toxic Skies,"['Action', 'Drama', 'Sci-Fi']",2008,4.9
My Soul to Keep,"['Action', 'Family', 'Horror']",2019,5
Sleeping Beauty,"['Action', 'Adventure', 'Drama']",2014,3.5
The Charge at Feather River,"['Action', 'Western']",1953,6.2
Body Count,"['Action', 'Thriller']",1998,4.1
Body Count,"['Crime', 'Drama', 'Thriller']",1998,5.4
Noise,"['Action', 'Crime', 'Thriller']",2022,5.7
Thunder of Gigantic Serpent,"['Action', 'Horror', 'Sci-Fi']",1988,4.6
Armstrong,['Action'],2017,3.7
Ravanaprabhu,"['Action', 'Drama', 'Romance']",2001,7.1
Cheburashka,"['Animation', 'Action', 'Family']",2010,6.9
Dishkiyaoon,"['Action', 'Thriller']",2014,5.2
The Big I Am,"['Action', 'Crime']",2010,5.2
Gitler kaput!,"['Action', 'Adventure', 'Comedy']",2008,3
The Long Duel,"['Action', 'Adventure', 'Drama']",1967,5.9
The Killing Machine,"['Action', 'Crime', 'Drama']",1994,4.4
Smokey Bites the Dust,"['Action', 'Comedy', 'Romance']",1981,3.4
Hellbent,"['Action', 'Comedy', 'Drama']",1988,4.7
Livvakterna,"['Action', 'Crime', 'Thriller']",2001,6.3
Short6,"['Animation', 'Action', 'Comedy']",2001,5.7
Bagavathi,"['Action', 'Drama']",2002,5.6
Hand Gun,"['Action', 'Crime', 'Thriller']",1994,5.5
Akhil,"['Action', 'Fantasy', 'Romance']",2015,3.7
Shark in Venice,"['Action', 'Adventure', 'Comedy']",2008,2.5
I Am Hooligan,"['Action', 'Drama']",2016,2.5
Pratighaat,"['Action', 'Crime', 'Drama']",1987,7
No Way Up,"['Action', 'Adventure', 'Drama']",,0
Deewane Huye Paagal,"['Action', 'Comedy', 'Drama']",2005,5.4
Kala,"['Action', 'Thriller']",2021,6.7
Jinde Meriye,"['Action', 'Comedy', 'Romance']",2020,5.3
Begum Jaan,"['Action', 'Drama', 'History']",2017,5.5
Vakeel Saab,"['Action', 'Crime', 'Drama']",2021,7
Dasara,['Action'],#N/A,0
Irumbu Thirai,"['Action', 'Crime', 'Thriller']",2018,7.6
The Power,"['Action', 'Crime', 'Drama']",2021,5.4
Karz,"['Action', 'Musical', 'Romance']",1980,7.4
High & Low: The Movie 2 - End of Sky,['Action'],2017,7.1
Madhagaja,"['Action', 'Crime', 'Thriller']",2021,5
Final Impact,"['Action', 'Drama']",1992,4.6
Zaalim,"['Action', 'Drama']",1994,4.4
Thamizhan,"['Action', 'Drama']",2002,5.9
9MM,"['Action', 'Thriller']",,0
Dead Meat,"['Action', 'Comedy', 'Horror']",2004,4.7
Romeo Vs Juliet,"['Action', 'Drama', 'Romance']",2015,4.7
For Better or Worse,"['Action', 'Comedy', 'Drama']",1995,4.8
Queen of the Trap House 2: Taking the Throne,"['Action', 'Crime', 'Drama']",2022,0
Agnee 2,['Action'],2015,5.3
Hard Evidence,"['Action', 'Drama', 'Thriller']",1995,4.5
Blackmark,"['Action', 'Drama', 'Thriller']",2018,4.5
Caravan,"['Action', 'Comedy', 'Musical']",1971,6.7
Flukten fra Katterat,"['Action', 'Drama', 'Thriller']",2021,8
Teen Titans: Alpha,"['Action', 'Comedy']",2022,0
Hollywood Cop,"['Action', 'Crime', 'Drama']",1987,4.1
Hide,"['Action', 'Crime', 'Drama']",2008,5.1
Lake Michigan Monster,"['Action', 'Adventure', 'Comedy']",2018,5.8
Karate,"['Action', 'Drama', 'Musical']",1983,6.2
Rakhwala,"['Action', 'Musical', 'Thriller']",1971,6.1
Slipstream,"['Action', 'Sci-Fi', 'Thriller']",2005,4.5
Agent for H.A.R.M.,"['Action', 'Adventure', 'Sci-Fi']",1966,2.3
Entha Manchivaadavuraa,"['Action', 'Drama']",2020,5.3
"Noel Juico, 16: Batang kriminal","['Action', 'Crime', 'Drama']",1991,0
OSS 117 se déchaîne,"['Action', 'Adventure', 'Thriller']",1963,5.5
Deadly Past,"['Action', 'Crime', 'Drama']",1995,4.1
Tarzan and the Lost Safari,"['Action', 'Adventure']",1957,5.7
Manila Kingpin: The Asiong Salonga Story,"['Action', 'Crime', 'Drama']",2011,6.4
Ablaze,"['Drama', 'Action', 'Thriller']",2001,3.4
Samarasimha Reddy,"['Action', 'Drama']",1999,7.3
Earthfall,"['Action', 'Sci-Fi', 'Thriller']",,0
The Return of Superfly,"['Action', 'Crime', 'Drama']",1990,4.2
West of the Divide,"['Action', 'Adventure', 'Romance']",1934,5.3
Lupin's Daughter,"['Action', 'Crime']",2021,5.2
That Man Bolt,"['Action', 'Crime', 'Drama']",1973,5.7
The Jerusalem File,"['Action', 'Drama', 'Thriller']",1972,5.9
Özgür Dünya,"['Action', 'Adventure', 'Family']",2019,2.3
SOS Kolkata,"['Action', 'Crime', 'Thriller']",2020,3.2
Atlantic Convoy,"['Action', 'Adventure', 'Drama']",1942,6
Revelation Road 2: The Sea of Glass and Fire,"['Action', 'Fantasy']",2013,4.8
Thunderbird 6,"['Animation', 'Action', 'Adventure']",1968,6.3
Wajood,"['Action', 'Crime', 'Drama']",1998,6.9
Hyper,"['Action', 'Drama']",2016,5.7
Baghavat,"['Action', 'Romance']",1982,6.4
Trader Horn,"['Action', 'Adventure', 'Drama']",1931,6.3
Heart Attack,"['Action', 'Romance']",2014,5.3
South Sea Woman,"['Action', 'Adventure', 'Comedy']",1953,6.2
Adrenaline,['Action'],#N/A,0
Amar Akbar Anthony,"['Action', 'Comedy', 'Drama']",1977,7.4
Naajayaz,"['Action', 'Drama']",1995,5.5
Asteroid-a-Geddon,"['Action', 'Sci-Fi']",2020,2.4
Daku Hasina,"['Action', 'Drama']",1987,5.4
Dangerous Prey,"['Action', 'Crime', 'Drama']",1995,4.2
Yoddha the Warrior,"['Action', 'Drama', 'Fantasy']",2014,3.8
Battle of Saipan,"['Action', 'History', 'War']",2022,0
Anbanavan Asaradhavan Adangadhavan,['Action'],2017,2.2
The Legend of Immortal Sword Cultivation,"['Action', 'Fantasy']",2021,6.9
Ashok,['Action'],2006,5.5
Báng-kah,"['Action', 'Crime', 'Drama']",2010,6.9
Untitled Dwayne Johnson Action Comedy,"['Action', 'Comedy']",,0
Grey,"['Action', 'Drama', 'Thriller']",2021,7.2
Boogie Town,"['Action', 'Drama', 'Music']",2012,6.4
Portal,"['Action', 'Adventure', 'Family']",#N/A,0
Farz,"['Action', 'Thriller']",2001,4.4
Pirates of Treasure Island,"['Action', 'Adventure']",2006,2.2
Spy Story,"['Action', 'Drama', 'Mystery']",1976,6.3
3 Tickets to Paradise,"['Action', 'Adventure', 'Western']",2021,3.8
The Viking Sagas,"['Action', 'Adventure']",1995,5.2
Born of War,"['Action', 'Drama', 'Thriller']",2014,4.3
Beaufort,"['Action', 'Drama', 'War']",2007,6.7
24 Little Hours,"['Action', 'Crime', 'Drama']",2020,3.7
Gekijoban Pocket Monster Best Wishes! Kyurem vs Seikenshi Keldeo,"['Animation', 'Action', 'Adventure']",2012,5.4
The Cure,"['Action', 'Sci-Fi', 'Thriller']",2014,3.4
Impact Earth,['Action'],2015,3.6
Safeguard,"['Action', 'Adventure', 'Thriller']",2020,3.5
Yeh Raaste Hain Pyaar Ke,"['Action', 'Drama', 'Romance']",2001,3.9
Bharaate,"['Action', 'Drama']",2019,4.7
Organ,"['Action', 'Drama', 'Horror']",1996,5.1
Agents of Project Blue Book,['Action'],2024,0
Dead Don't Die in Dallas,"['Action', 'Comedy', 'Horror']",2019,3.8
Sarkar Raj,"['Action', 'Crime', 'Drama']",2008,6.7
Honor Up,"['Action', 'Adventure']",2018,2.5
Garm Wars: The Last Druid,"['Action', 'Sci-Fi', 'Thriller']",2014,4.8
In Her Line of Fire,"['Action', 'Drama']",2006,3.6
Aap Mujhe Achche Lagne Lage,"['Action', 'Drama', 'Romance']",2002,3.1
Heneral Luna,"['Action', 'Biography', 'History']",2015,7.3
Commando 3,"['Action', 'Adventure', 'Thriller']",2019,5.7
BuyBust,"['Action', 'Crime', 'Thriller']",2018,5.7
Hot Guys with Guns,"['Action', 'Comedy', 'Romance']",2013,5.4
"Sangraal, la spada di fuoco","['Action', 'Adventure', 'Fantasy']",1982,3.9
Home Operation,"['Action', 'Drama', 'War']",2022,0
Divination,"['Action', 'Thriller']",2011,4.1
